Categoria;Cargo;Vantagens;Descontos ;Líquido;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12328;2593;9735;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10378;2056;8321;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5304;610;4694;;
A DISPOSICAO COMISSIONADO;SERVIDOR EMLURB DISP.CAMARA;1192;98;1093;;
VEREADORES;VEREADOR;14635;3077;11558;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9900;1925;7975;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8624;1574;7050;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;13824;3004;10820;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;14110;3083;11027;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12732;2704;10028;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3130;161;2969;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9595;1841;7754;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3130;161;2969;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5048;548;4500;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10426;2018;8408;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9517;1768;7749;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3130;161;2969;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11842;2459;9383;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;11738;2431;9307;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3799;246;3553;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8444;1525;6919;;
